PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Draymond Green,Warriors,24 February 2023,28 February 2023,4,bruised right knee
Jeff Green,Nuggets,22 November 2022,06 December 2022,14,bruised right knee
Jaden Springer,76ers,16 April 2022,18 April 2022,2,bruised right knee
Fred VanVleet,Raptors,16 February 2022,25 February 2022,9,bruised right knee
Tyler Herro,Heat,14 February 2022,24 February 2022,10,bruised right knee
Caris LeVert,Pacers,13 May 2021,15 May 2021,2,bruised right knee
Devonte' Graham,Hornets,01 May 2021,02 May 2021,1,bruised right knee
Rudy Gobert,Jazz,17 April 2021,19 April 2021,2,bruised right knee
Avery Bradley,Rockets,24 February 2021,29 March 2021,33,bruised right knee
Tobias Harris,76ers,26 February 2021,03 March 2021,5,bruised right knee
Avery Bradley,Heat,28 January 2021,01 February 2021,4,bruised right knee
Kelly Olynyk,Heat,04 September 2020,06 September 2020,2,bruised right knee
Serge Ibaka,Raptors,10 August 2020,17 August 2020,7,bruised right knee
Gordon Hayward,Celtics,04 March 2020,08 March 2020,4,bruised right knee
Eric Gordon,Rockets,26 February 2020,29 February 2020,3,bruised right knee
Garrett Temple,Nets,14 January 2020,19 January 2020,5,bruised right knee
Steven Adams,Thunder,17 January 2020,18 January 2020,1,bruised right knee
Garrett Temple,Nets,10 January 2020,12 January 2020,2,bruised right knee
Garrett Temple,Nets,02 January 2020,04 January 2020,2,bruised right knee
Fred VanVleet,Raptors,11 December 2019,20 December 2019,9,bruised right knee
Bogdan Bogdanovic,Kings,04 December 2019,06 December 2019,2,bruised right knee
Maxi Kleber,Mavericks,03 November 2019,06 November 2019,3,bruised right knee
Kyrie Irving,Celtics,09 April 2019,13 April 2019,4,bruised right knee
Maxi Kleber,Mavericks,07 April 2019,09 April 2019,2,bruised right knee
Luka Doncic,Mavericks,16 March 2019,18 March 2019,2,bruised right knee
Dewayne Dedmon,Hawks,06 March 2019,10 March 2019,4,bruised right knee
Rodney McGruder,Heat,25 February 2019,27 February 2019,2,bruised right knee
Eric Gordon,Rockets,31 December 2018,16 January 2019,16,bruised right knee
Domantas Sabonis,Pacers,20 October 2018,22 October 2018,2,bruised right knee
Willie Cauley-Stein,Kings,28 January 2018,02 February 2018,5,bruised right knee
Victor Oladipo,Pacers,25 November 2017,27 November 2017,2,bruised right knee
Nik Stauskas,76ers,23 December 2016,26 December 2016,3,bruised right knee
Kentavious Caldwell-Pope,Pistons,11 December 2016,14 December 2016,3,bruised right knee
Nerlens Noel,76ers,23 March 2016,05 April 2016,13,bruised right knee
Jerami Grant,76ers,29 March 2016,01 April 2016,3,bruised right knee
DeMarcus Cousins,Kings,23 March 2016,25 March 2016,2,bruised right knee
Nerlens Noel,76ers,04 March 2016,09 March 2016,5,bruised right knee
DeMarre Carroll,Raptors,20 December 2015,26 December 2015,6,bruised right knee
DeMarre Carroll,Raptors,07 December 2015,13 December 2015,6,bruised right knee
J.R. Smith,Cavaliers,03 November 2015,10 November 2015,7,bruised right knee
Danilo Gallinari,Nuggets,13 December 2014,17 December 2014,4,bruised right knee
Lance Stephenson,Pacers,08 January 2014,10 January 2014,2,bruised right knee
Eric Gordon,Hornets,18 January 2012,04 April 2012,77,bruised right knee
Giannis Antetokounmpo,Bucks,05 April 2023,16 April 2023,11,sore right knee
Khris Middleton,Bucks,06 April 2023,16 April 2023,10,sore right knee
Caris LeVert,Cavaliers,09 April 2023,15 April 2023,6,sore right knee
Kyle Lowry,Heat,29 March 2023,01 April 2023,3,sore right knee
Giannis Antetokounmpo,Bucks,27 March 2023,29 March 2023,2,sore right knee
Javonte Green,Bulls,09 January 2023,20 March 2023,70,sore right knee
Kyle Kuzma,Wizards,14 March 2023,16 March 2023,2,sore right knee
Jeremy Sochan,Spurs,12 March 2023,14 March 2023,2,sore right knee
Cameron Johnson,Nets,08 March 2023,10 March 2023,2,sore right knee
Khris Middleton,Bucks,16 February 2023,23 February 2023,7,sore right knee
Josh Richardson,Spurs,26 January 2023,01 February 2023,6,sore right knee
Doug McDermott,Spurs,27 December 2022,29 December 2022,2,sore right knee
Javonte Green,Bulls,04 December 2022,11 December 2022,7,sore right knee
Bojan Bogdanovic,Pistons,27 November 2022,29 November 2022,2,sore right knee
Jakob Poeltl,Spurs,20 November 2022,23 November 2022,3,sore right knee
Ziaire Williams,Grizzlies,29 April 2022,03 May 2022,4,sore right knee
Giannis Antetokounmpo,Bucks,10 April 2022,16 April 2022,6,sore right knee
Fred VanVleet,Raptors,07 April 2022,15 April 2022,8,sore right knee
Ja Morant,Grizzlies,10 April 2022,15 April 2022,5,sore right knee
Joel Embiid,76ers,10 April 2022,15 April 2022,5,sore right knee
Will Barton,Nuggets,10 April 2022,15 April 2022,5,sore right knee
Cameron Payne,Suns,08 April 2022,13 April 2022,5,sore right knee
Devonte' Graham,Pelicans,10 April 2022,13 April 2022,3,sore right knee
Jarrett Culver,Grizzlies,07 April 2022,10 April 2022,3,sore right knee
Keldon Johnson,Spurs,08 April 2022,10 April 2022,2,sore right knee
Ja Morant,Grizzlies,19 March 2022,09 April 2022,21,sore right knee
Giannis Antetokounmpo,Bucks,01 April 2022,03 April 2022,2,sore right knee
Miles McBride,Knicks,02 April 2022,03 April 2022,1,sore right knee
Quentin Grimes,Knicks,27 March 2022,03 April 2022,7,sore right knee
De'Andre Hunter,Hawks,28 March 2022,30 March 2022,2,sore right knee
Bogdan Bogdanovic,Hawks,25 March 2022,28 March 2022,3,sore right knee
Davis Bertans,Mavericks,21 March 2022,27 March 2022,6,sore right knee
Giannis Antetokounmpo,Bucks,24 March 2022,26 March 2022,2,sore right knee
Giannis Antetokounmpo,Bucks,19 March 2022,22 March 2022,3,sore right knee
Dean Wade,Cavaliers,14 March 2022,21 March 2022,7,sore right knee
Marquese Chriss,Mavericks,11 February 2022,18 March 2022,35,sore right knee
Fred VanVleet,Raptors,12 March 2022,14 March 2022,2,sore right knee
Bones Hyland,Nuggets,09 March 2022,10 March 2022,1,sore right knee
Fred VanVleet,Raptors,28 February 2022,09 March 2022,9,sore right knee
Kristaps Porzingis,Wizards,30 January 2022,05 March 2022,34,sore right knee
Rudy Gay,Jazz,07 February 2022,27 February 2022,20,sore right knee
Tre Jones,Spurs,16 February 2022,24 February 2022,8,sore right knee
Tyler Herro,Heat,07 February 2022,12 February 2022,5,sore right knee
Lonnie Walker IV,Spurs,04 February 2022,09 February 2022,5,sore right knee
Jordan Clarkson,Jazz,02 February 2022,07 February 2022,5,sore right knee
Fred VanVleet,Raptors,25 January 2022,29 January 2022,4,sore right knee
Bogdan Bogdanovic,Hawks,15 January 2022,26 January 2022,11,sore right knee
Giannis Antetokounmpo,Bucks,22 January 2022,26 January 2022,4,sore right knee
Terrence Ross,Magic,23 January 2022,25 January 2022,2,sore right knee
Reggie Bullock,Mavericks,17 January 2022,19 January 2022,2,sore right knee
Scottie Barnes,Raptors,11 January 2022,14 January 2022,3,sore right knee
Andre Iguodala,Warriors,03 January 2022,06 January 2022,3,sore right knee
Andre Iguodala,Warriors,22 December 2021,28 December 2021,6,sore right knee
Brandon Clarke,Grizzlies,04 December 2021,26 December 2021,22,sore right knee
Andre Iguodala,Warriors,19 November 2021,11 December 2021,22,sore right knee
Nerlens Noel,Knicks,02 December 2021,04 December 2021,2,sore right knee
Nerlens Noel,Knicks,27 November 2021,30 November 2021,3,sore right knee
